business_name,segment,city,address,phone,website,yelp_url,yelp_rating,yelp_review_count,google_rating,google_review_count,years_in_business,owner_name,email,social_media,source,status,notes
"Limelight Services",electrician,Loveland,"4540 Venture Dr #100, Johnstown, CO 80534, USA","","","",,,5.0,1546,"","","","",google_places,untouched,""
"Limelight Services",hvac,Johnstown,"4540 Venture Dr #100, Johnstown, CO 80534, USA","","","",,,5.0,1546,"","","","",google_places,untouched,""
"Limelight Services",electrician,Milliken,"4540 Venture Dr #100, Johnstown, CO 80534, USA","","","",,,5.0,1546,"","","","",google_places,untouched,""
"My Guy Heating and Air (Firestone)",hvac,Longmont,"4321 Mulligan St, Longmont, CO 80504, USA","","","",,,5.0,938,"","","","",google_places,untouched,""
"My Guy Heating and Air (Firestone)",hvac,Mead,"4321 Mulligan St, Longmont, CO 80504, USA","","","",,,5.0,938,"","","","",google_places,untouched,""
"My Guy Heating and Air (Firestone)",hvac,Firestone,"4321 Mulligan St, Longmont, CO 80504, USA","","","",,,5.0,938,"","","","",google_places,untouched,""
"My Guy Heating and Air (Firestone)",hvac,Dacono,"4321 Mulligan St, Longmont, CO 80504, USA","","","",,,5.0,938,"","","","",google_places,untouched,""
"McCormick Heating & Cooling",hvac,Greeley,"2881 S 31st Ave #3, Greeley, CO 80631, USA","","","",,,5.0,909,"","","","",google_places,untouched,""
"McCormick Heating & Cooling",hvac,Evans,"2881 S 31st Ave #3, Greeley, CO 80631, USA","","","",,,5.0,909,"","","","",google_places,untouched,""
"WestPro Home Exteriors",roofing,Longmont,"164 Primrose Ct, Longmont, CO 80501, USA","","","",,,5.0,723,"","","","",google_places,untouched,""
"WestPro Home Exteriors",roofing,Mead,"164 Primrose Ct, Longmont, CO 80501, USA","","","",,,5.0,723,"","","","",google_places,untouched,""
"Polar Bear Plumbing Heating & Air",hvac,Windsor,"687 Gyrfalcon Ct Unit C, Windsor, CO 80550, USA","","","",,,5.0,554,"","","","",google_places,untouched,""
"Polar Bear Plumbing Heating & Air",hvac,Wellington,"687 Gyrfalcon Ct Unit C, Windsor, CO 80550, USA","","","",,,5.0,554,"","","","",google_places,untouched,""
"Polar Bear Plumbing Heating & Air",hvac,Severance,"687 Gyrfalcon Ct Unit C, Windsor, CO 80550, USA","","","",,,5.0,554,"","","","",google_places,untouched,""
"Polar Bear Plumbing Heating & Air",hvac,Johnstown,"687 Gyrfalcon Ct Unit C, Windsor, CO 80550, USA","","","",,,5.0,554,"","","","",google_places,untouched,""
"Polar Bear Plumbing Heating & Air",plumbing,Milliken,"687 Gyrfalcon Ct Unit C, Windsor, CO 80550, USA","","","",,,5.0,554,"","","","",google_places,untouched,""
"Polar Bear Plumbing Heating & Air",hvac,"Estes Park","687 Gyrfalcon Ct Unit C, Windsor, CO 80550, USA","","","",,,5.0,554,"","","","",google_places,untouched,""
"Alder Plumbing, Heating and Air",hvac,Loveland,"2438 E 13th St, Loveland, CO 80537, USA","","","",,,5.0,521,"","","","",google_places,untouched,""
"Alder Plumbing, Heating and Air",plumbing,Berthoud,"2438 E 13th St, Loveland, CO 80537, USA","","","",,,5.0,521,"","","","",google_places,untouched,""
"Alder Plumbing, Heating and Air",plumbing,Johnstown,"2438 E 13th St, Loveland, CO 80537, USA","","","",,,5.0,521,"","","","",google_places,untouched,""
"Alder Plumbing, Heating and Air",hvac,"Estes Park","2438 E 13th St, Loveland, CO 80537, USA","","","",,,5.0,521,"","","","",google_places,untouched,""
"Balance Point Heating, Cooling & Plumbing",hvac,"Fort Collins","4730 S College Ave #108, Fort Collins, CO 80525, USA","","","",,,5.0,515,"","","","",google_places,untouched,""
"Balance Point Heating, Cooling & Plumbing",hvac,Wellington,"4730 S College Ave #108, Fort Collins, CO 80525, USA","","","",,,5.0,515,"","","","",google_places,untouched,""
"David Williams Electric",electrician,Frederick,"5740 Industry Ln Ste 2, Frederick, MD 21701, USA","","","",,,5.0,504,"","","","",google_places,untouched,""
"American Air Heating & Air Conditioning",hvac,Windsor,"7350 Greendale Rd, Windsor, CO 80550, USA","","","",,,5.0,485,"","","","",google_places,untouched,""
"American Air Heating & Air Conditioning",hvac,Greeley,"7350 Greendale Rd, Windsor, CO 80550, USA","","","",,,5.0,485,"","","","",google_places,untouched,""
"American Air Heating & Air Conditioning",hvac,Wellington,"7350 Greendale Rd, Windsor, CO 80550, USA","","","",,,5.0,485,"","","","",google_places,untouched,""
"American Air Heating & Air Conditioning",hvac,Severance,"7350 Greendale Rd, Windsor, CO 80550, USA","","","",,,5.0,485,"","","","",google_places,untouched,""
"American Air Heating & Air Conditioning",hvac,Johnstown,"7350 Greendale Rd, Windsor, CO 80550, USA","","","",,,5.0,485,"","","","",google_places,untouched,""
"American Air Heating & Air Conditioning",hvac,Milliken,"7350 Greendale Rd, Windsor, CO 80550, USA","","","",,,5.0,485,"","","","",google_places,untouched,""
"American Air Heating & Air Conditioning",hvac,Evans,"7350 Greendale Rd, Windsor, CO 80550, USA","","","",,,5.0,485,"","","","",google_places,untouched,""
"AAA Service Plumbing, Heating & Electric",plumbing,"Fort Collins","825 SW Frontage Rd #1B, Fort Collins, CO 80524, USA","","","",,,5.0,461,"","","","",google_places,untouched,""
"AAA Service Plumbing, Heating & Electric",plumbing,Timnath,"825 SW Frontage Rd #1B, Fort Collins, CO 80524, USA","","","",,,5.0,461,"","","","",google_places,untouched,""
"Green Hills Sod Farm",irrigation,Berthoud,"1283 Co Rd 38, Berthoud, CO 80513, USA","","","",,,5.0,414,"","","","",google_places,untouched,""
"Valley Heating, Air and Refrigeration Inc",hvac,"Fort Collins","671 Academy Ct UNIT A, Windsor, CO 80550, USA","","","",,,5.0,408,"","","","",google_places,untouched,""
"Valley Heating, Air and Refrigeration Inc",hvac,Windsor,"671 Academy Ct UNIT A, Windsor, CO 80550, USA","","","",,,5.0,408,"","","","",google_places,untouched,""
